ticker,date,finbert_score_mean,finbert_score_std,alpha_score_mean,news_count,positive_count,negative_count
AAPL,2026-05-23,0.3379080848429691,0.6178493308119587,0.2033080909090909,11,0.4609789496965029,0.12307086485353383
AAPL,2026-05-24,0.12034622680706282,0.7375168625121656,0.19096516666666666,24,0.45810900737221044,0.3377627805651476
AAPL,2026-05-25,0.4683466114724676,0.7155237369393834,0.2503378,15,0.6829785000532865,0.21463188858081897
GOOGL,2026-05-23,0.4089195015350063,0.6687638911600482,0.17585578947368422,19,0.5994550144593966,0.19053551292439042
GOOGL,2026-05-24,0.3670283379033208,0.6114372062760084,0.043688000000000005,19,0.5431230373092388,0.176094699405918
GOOGL,2026-05-25,0.13175653565364578,0.7930576306652994,0.07104716666666668,12,0.4661434189571689,0.33438688330352306
META,2026-05-17,0.2999192178249359,,-0.107586,1,0.6333829760551453,0.33346375823020935
META,2026-05-18,0.30684029409718333,0.6676773250751773,0.10267039393939395,33,0.5139579103525841,0.20711761625540076
META,2026-05-19,0.278408647631295,0.6682101786419432,0.16859675,16,0.5463938172906637,0.2679851696593687
MSFT,2026-05-23,0.5803687061098489,0.6115329985510997,0.22758527272727272,11,0.6935114721682939,0.11314276605844498
MSFT,2026-05-24,0.30028434273683363,0.7574920631694609,0.1637772222222222,18,0.5552875784536203,0.2550032357167866
MSFT,2026-05-25,0.10246868628919834,0.7310267193350317,0.21371314285714285,21,0.45358810176895487,0.35111941547975656
NVDA,2026-05-19,0.10861018898896874,0.8185450494376713,0.17128974,50,0.46813783803023395,0.3595276490412653
