date,Close,High,Low,Open,Volume,return_simple,return_log,ticker,next_return,target,finbert_score_mean,finbert_score_std,alpha_score_mean,news_count,positive_count,negative_count
2025-05-20,206.04258728027344,207.64622592622175,204.2198167548668,206.84938410987283,42496600,,,AAPL,-0.02305911477177236,SELL,0.0,,0.0,0.0,,
2025-05-21,201.2914276123047,206.2218644000924,199.91689108628387,204.3592586621154,59211800,-0.0230591147717723,0.9769408852282276,AAPL,-0.0036121585814256063,HOLD,0.0,,0.0,0.0,,
2025-05-22,200.5643310546875,201.94883789272,198.9108868600604,199.91690559460176,46742400,-0.0036121585814256,0.9963878414185744,AAPL,-0.030244403151994947,SELL,0.0,,0.0,0.0,,
2025-05-23,194.49838256835935,196.91877297523905,192.6955373289648,192.9046989896,78432900,-0.0302444031519948,0.9697555968480052,AAPL,0.025298341226390297,BUY,0.0,,0.0,0.0,,
2025-05-27,199.4188690185547,199.94677348688447,196.64984031499387,197.51641281084125,56288500,0.02529834122639,1.02529834122639,AAPL,0.0010488851004830657,HOLD,0.0,,0.0,0.0,,
2025-05-28,199.62803649902344,201.9289060786693,199.11008702875665,199.7973629184677,45339700,0.001048885100483,1.001048885100483,AAPL,-0.002345136061230768,HOLD,0.0,,0.0,0.0,,
2025-05-29,199.15988159179688,203.0046291598645,197.72556941325453,202.77554227533128,51396800,-0.0023451360612307,0.9976548639387692,AAPL,0.0045011768949494435,HOLD,0.0,,0.0,0.0,,
2025-05-30,200.05633544921875,201.1619498266407,196.002410999174,198.5821728136608,70819900,0.0045011768949494,1.0045011768949494,AAPL,0.004231977503895479,HOLD,0.0,,0.0,0.0,,
2025-06-02,200.9029693603516,201.3312780971428,199.32921098525784,199.488582384924,35423300,0.0042319775038952,1.0042319775038953,AAPL,0.007783918081640584,HOLD,0.0,,0.0,0.0,,
2025-06-03,202.4667816162109,202.96480586317463,200.16591202699755,200.55437033168948,46381600,0.0077839180816408,1.0077839180816408,AAPL,-0.002213904838719083,HOLD,0.0,,0.0,0.0,,
2025-06-04,202.0185394287109,205.4250230594641,201.30138338029005,202.1081801351405,43604000,-0.002213904838719,0.9977860951612808,AAPL,-0.010797699336839717,SELL,0.0,,0.0,0.0,,
2025-06-05,199.8372039794922,203.9409187010704,199.35908978394465,202.69585814733983,55126100,-0.0107976993368398,0.9892023006631602,AAPL,0.016398311888850436,BUY,0.0,,0.0,0.0,,
