Price,Close,High,Low,Open,Volume,return_simple,return_log
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,
Date,,,,,,,
2025-05-20,163.4133758544922,167.91776161058672,162.33710588412995,165.85490703254322,46607700,,
2025-05-21,167.97755432128906,172.54173038625467,162.99483135159699,163.12438701474937,73416000,0.027930262397008132,1.0279302623970081
2025-05-22,170.27955627441406,176.15917803179707,170.12012070875053,171.25618084668935,74864400,0.013704223534068083,1.013704223534068
2025-05-23,167.88784790039062,169.3727046333075,167.30985028367255,168.47580548761593,35211400,-0.014045775231931401,0.9859542247680686
2025-05-27,172.3025360107422,172.5716072803838,169.41256307598843,169.5720138436325,37995700,0.026295459531834764,1.0262954595318348
2025-05-28,171.76441955566406,174.66436785084326,171.31597754856884,172.56165823831284,34784000,-0.0031230907422312715,0.9968769092577687
2025-05-29,171.26612854003906,173.81727988052086,170.04038313314817,173.39873303929133,29317300,-0.00290101417344768,0.9970989858265523
2025-05-30,171.1465606689453,171.61493780799663,166.86141620850907,170.75790891590938,52639900,-0.0006981407947561635,0.9993018592052438
2025-06-02,168.44593811035156,169.28303195267003,166.8116055203689,167.2600475640349,38612300,-0.015779590007757527,0.9842204099922425
2025-06-03,165.6057586669922,167.89781407143477,164.70887469424017,166.91124474262,45084900,-0.016861074094281392,0.9831389259057186
2025-06-04,167.46929931640625,167.6387100496484,165.78513674832732,166.16382850855194,26900800,0.011252873477433534,1.0112528734774335
2025-06-05,167.6287841796875,170.33937166903382,167.01091614951414,169.75141396828118,36379100,0.0009523229865548988,1.000952322986555
2025-06-06,173.07984924316406,173.897023068816,170.239706414102,170.239706414102,35731800,0.03251866969119921,1.0325186696911992
2025-06-09,175.69395446777344,176.07310468622353,173.97782168090652,174.14743750903665,28935900,0.01510346372521254,1.0151034637252125
2025-06-10,178.19833374023438,180.70268325607967,174.5166301339373,175.80372221831115,61766100,0.014254214267345855,1.0142542142673459
2025-06-11,176.95114135742188,179.96433833777158,176.352484683136,179.36569688795734,31646800,-0.00699890036362838,0.9930010996363716
2025-06-12,175.30482482910156,176.32253497944023,174.3569645474145,175.7837409838909,20941900,-0.009303791519462035,0.990696208480538
2025-06-13,174.27716064453125,176.73163473712606,172.00228964381978,172.05218023736916,27663100,-0.0058621557368552235,0.9941378442631448
2025-06-16,176.3724365234375,176.5420523549515,174.25719419482596,174.33701609632743,27389200,0.012022664766612401,1.0120226647666124
2025-06-17,175.5542755126953,176.96110799729416,174.1873615915514,175.30483777675101,24973000,-0.004638825810139968,0.99536117418986
