Price,Close,High,Low,Open,Volume,return_simple,return_log
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,
Date,,,,,,,
2025-05-20,134.3483428955078,134.54829272140586,132.58874781513978,134.2583525069389,161514200,,
2025-05-21,131.76895141601562,137.36762292180558,130.55922977564506,133.02864907239967,270608700,-0.019199280198776703,0.9808007198012233
2025-05-22,132.7987060546875,134.21836966107523,131.51900885300861,132.19884131725317,187344000,0.0078148503695743,1.0078148503695743
2025-05-23,131.25906372070312,132.64873565144939,129.12957588399638,129.96937433382988,198821300,-0.01159380523896325,0.9884061947610367
2025-05-27,135.4680633544922,135.6280293045703,133.27857708527512,134.1183754403962,192953600,0.03206635423474524,1.0320663542347452
2025-05-28,134.7782440185547,137.2176717346689,134.75824445795843,135.9979578766118,304021100,-0.005092117794083917,0.9949078822059161
2025-05-29,139.15721130371094,143.45620133736625,137.87751407348716,142.21648797143945,369241900,0.03249016424752793,1.032490164247528
2025-05-30,135.09817504882812,139.58710766728817,132.88868890141003,138.6873257641086,333170900,-0.029168709381678815,0.9708312906183212
2025-06-02,137.34764099121094,138.08745689917103,135.36809645457458,135.45808684638126,197663100,0.016650601990513936,1.016650601990514
2025-06-03,141.1867218017578,141.9665367692297,137.91748812723765,138.74729436292043,225578800,0.027951559872750442,1.0279515598727504
2025-06-04,141.88656616210938,142.3564566649135,139.5071219355859,142.15650682982962,167120800,0.00495687095373043,1.0049568709537304
2025-06-05,139.95703125,143.96608121416313,138.79730082341692,142.13651043477643,231397900,-0.013599137425771679,0.9864008625742283
2025-06-06,141.6865997314453,143.23623746842864,141.47664251332282,142.47640682683559,153986200,0.012357853449719514,1.0123578534497195
2025-06-09,142.59640502929688,144.96584183837217,141.9065651342004,143.15627066728982,185114500,0.0064212515479658006,1.0064212515479658
2025-06-10,143.92608642578125,144.25599524562207,141.4966510569608,142.65638139553192,155881900,0.009324789052088667,1.0093247890520887
2025-06-11,142.80625915527344,144.96590375929992,141.84641202362192,144.5859620448177,167694000,-0.007780571947151982,0.992219428052848
2025-06-12,144.9759063720703,144.9759063720703,141.82643588786814,141.94641106631286,162365000,0.015192942029507384,1.0151929420295074
2025-06-13,141.94639587402344,143.556128789635,140.8265869783813,142.4563055840922,180820600,-0.02089664809731795,0.979103351902682
2025-06-16,144.66595458984375,146.1556971839991,143.1761967394354,143.32618096280035,183133700,0.019159054367494432,1.0191590543674944
