Price,Close,High,Low,Open,Volume,return_simple,return_log
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2025-05-20,206.04258728027344,207.64622592622177,204.2198167548668,206.84938410987283,42496600,,
2025-05-21,201.2914276123047,206.22186440009241,199.91689108628387,204.3592586621154,59211800,-0.02305911477177236,0.9769408852282276
2025-05-22,200.5643310546875,201.94883789272,198.91088686006037,199.91690559460176,46742400,-0.0036121585814256063,0.9963878414185744
2025-05-23,194.49838256835938,196.91877297523902,192.6955373289648,192.9046989896,78432900,-0.030244403151994836,0.9697555968480052
2025-05-27,199.4188690185547,199.94677348688452,196.64984031499387,197.51641281084125,56288500,0.025298341226390075,1.02529834122639
2025-05-28,199.62803649902344,201.9289060786693,199.11008702875665,199.79736291846774,45339700,0.0010488851004830657,1.001048885100483
2025-05-29,199.15988159179688,203.0046291598645,197.72556941325453,202.77554227533128,51396800,-0.002345136061230768,0.9976548639387692
2025-05-30,200.05633544921875,201.1619498266407,196.00241099917397,198.5821728136608,70819900,0.0045011768949494435,1.0045011768949494
2025-06-02,200.90296936035156,201.33127809714276,199.32921098525782,199.488582384924,35423300,0.004231977503895257,1.0042319775038953
2025-06-03,202.46678161621094,202.96480586317466,200.16591202699755,200.55437033168948,46381600,0.007783918081640806,1.0077839180816408
2025-06-04,202.01853942871094,205.42502305946414,201.30138338029005,202.10818013514051,43604000,-0.002213904838719083,0.9977860951612809
2025-06-05,199.8372039794922,203.94091870107042,199.35908978394463,202.69585814733983,55126100,-0.010797699336839828,0.9892023006631602
2025-06-06,203.11419677734375,204.8871617909174,201.2515910514923,202.19783403313102,46607700,0.01639831188885066,1.0163983118888507
2025-06-09,200.65396118164062,205.18598475848052,199.22961916524454,203.58234611432158,72862600,-0.012112573294913775,0.9878874267050862
2025-06-10,201.869140625,203.54250994980842,199.77744796710627,199.8073282051838,54672600,0.006056094961710334,1.0060560949617103
2025-06-11,197.99452209472656,203.69192080198684,197.62598900862739,202.6958722895077,60989900,-0.01919371389939728,0.9808062861006027
2025-06-12,198.41285705566406,198.890956077424,196.58013147350607,198.29333609984755,43904600,0.002112861287835832,1.0021128612878358
2025-06-13,195.67372131347656,199.57822954037988,194.92668495173118,198.94075911963023,51447300,-0.013805233102505254,0.9861947668974947
2025-06-16,197.63592529296875,197.90486262143017,195.78327462738756,196.52035592822918,43020700,0.010027938173407858,1.0100279381734079
2025-06-17,194.86692810058594,197.6060614779548,194.43863454049264,196.4207613301707,38856200,-0.014010596445348411,0.9859894035546516
2025-06-18,195.80320739746094,196.7893008408277,194.2991796996429,195.16573699325735,45394700,0.004804711122616601,1.0048047111226166
2025-06-20,200.20574951171875,200.90298042554332,196.08210930882012,197.45666110928434,96813500,0.022484525012509637,1.0224845250125096
2025-06-23,200.70376586914062,201.50060768152076,198.17380945321412,200.83325703321927,55814300,0.0024875227541492073,1.0024875227541492
2025-06-24,199.5084991455078,202.63609053842802,199.40888822531906,201.78944331230142,54064000,-0.005955377660487593,0.9940446223395124
2025-06-25,200.76351928710938,202.8651820841085,199.82723133036671,200.65395335177794,39525700,0.006290559785556926,1.006290559785557
2025-06-26,200.20574951171875,201.8392684520338,198.67184150130464,200.63404307360597,50799100,-0.0027782426676480343,0.997221757332352
2025-06-27,200.28543090820312,202.41697405518968,199.20969672208463,201.09222774816857,73188600,0.0003979975434207361,1.0003979975434207
2025-06-30,204.3592529296875,206.57048164253425,198.4726031076903,201.211736268348,91912800,0.02034008166750545,1.0203400816675054
2025-07-01,206.99879455566406,209.35942450018746,205.3254252695324,205.85332972802502,78788900,0.01291618357444646,1.0129161835744465
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524102,67941800,0.02223078455769123,1.0222307845576912
2025-07-03,212.7061309814453,213.80177506176915,210.97300135818003,211.31165415399877,34955800,0.005224896020920244,1.0052248960209202
2025-07-07,209.12037658691406,215.37555986284275,207.97492690746134,211.83958469799765,50229000,-0.016857785800466818,0.9831422141995332
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,0.0002857369470350424,1.000285736947035
2025-07-09,210.3056640625,210.49491569520316,206.40115605631001,208.70202548866368,48749400,0.005380692982602575,1.0053806929826026
2025-07-10,211.57066345214844,212.63642743345136,209.2000631819418,209.67816220166208,44443600,0.00601505145040937,1.0060150514504094
2025-07-11,210.3256072998047,211.29177557167307,209.03074119537857,209.73794232575938,39765800,-0.005884824162426194,0.9941151758375738
2025-07-14,207.79562377929688,210.07658325197187,206.71988962428105,209.10044482334126,38840100,-0.012028889648712626,0.9879711103512874
2025-07-15,208.28369140625,211.05270487364396,208.09443976951917,208.39325734338402,42296300,0.00234878684197648,1.0023487868419765
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,0.005021289252517214,1.0050212892525172
2025-07-17,209.19009399414062,210.96305897069354,208.761785269157,209.7379236663323,48068100,-0.0006661748290881508,0.9993338251709118
2025-07-18,210.3455047607422,210.95309492429405,208.87135730762196,210.0367321724359,48974600,0.005523257552692451,1.0055232575526925
2025-07-21,211.640380859375,214.92734394651046,210.79374875413163,211.26189276464606,51377400,0.00615594851958301,1.006155948519583
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,0.009036079429770583,1.0090360794297706
2025-07-23,213.30377197265625,214.29982043425818,211.57065737650467,214.15041924441525,46989300,-0.0011660263965397322,0.9988339736034603
2025-07-24,212.9153289794922,214.83771055173221,212.68624207244096,213.05477516619655,46022600,-0.0018210788753133533,0.9981789211246866
2025-07-25,213.0348358154297,214.38946224202752,212.55672164240056,213.85158759699283,40268800,0.0005612880787413399,1.0005612880787413
2025-07-28,213.2041778564453,214.00101967144602,212.2180844005514,213.18425263148458,37858000,0.0007949030512659494,1.000794903051266
2025-07-29,210.43516540527344,213.96117031669576,209.9869466315705,213.33365491441555,51411700,-0.012987608774891357,0.9870123912251086
2025-07-30,208.22393798828125,211.5507362671114,206.89919168476044,211.06266703997414,45512500,-0.010507879767783224,0.9894921202322168
2025-07-31,206.74978637695312,209.01080544085684,206.3414028602417,207.66614913739534,80698400,-0.007079645239497334,0.9929203547605027
2025-08-01,201.58029174804688,212.73603143542957,200.7037642416869,210.03673342752194,104434500,-0.025003627425670194,0.9749963725743298
2025-08-04,202.5464630126953,207.0585613783641,200.88304868853191,203.70186769022786,75109300,0.004792984751981866,1.0047929847519819
2025-08-05,202.11814880371094,204.52858421879685,201.36115745633876,202.59624780213056,44155100,-0.0021146466969286237,0.9978853533030714
2025-08-06,212.40733337402344,214.52892145014,204.77759854868273,204.81744899810374,108483100,0.05090678215297206,1.050906782152972
2025-08-07,219.16053771972656,219.97730473834642,215.7241736307253,218.01508808955717,90224800,0.03179364967503995,1.03179364967504
2025-08-08,228.44371032714844,230.08718413442585,218.3836152444713,219.95737356583322,113854000,0.04235786562676558,1.0423578656267656
2025-08-11,226.53909301757812,228.91238364576833,224.12592192869855,227.27701087414155,61806100,-0.00833735937331237,0.9916626406266876
2025-08-12,229.0021209716797,230.14888579943394,226.429412881848,227.36674823663387,55626200,0.010872419065924621,1.0108724190659246
2025-08-13,232.6717529296875,234.33703985510917,229.77992501054072,230.4181341091737,69878500,0.01602444528652036,1.0160244452865204
2025-08-14,232.123291015625,234.4566858681212,230.1987431425788,233.39967872378062,51916300,-0.002357234632724192,0.9976427653672758
2025-08-15,230.9366455078125,233.6190590405621,228.69299310222902,233.33985018068216,56038700,-0.005112134601489071,0.9948878653985109
2025-08-18,230.23863220214844,232.46233685580373,229.46083388892833,231.04634466466607,37476200,-0.003022531587090427,0.9969774684129096
2025-08-19,229.90956115722656,232.2130419457167,228.70298322789472,230.62753117126795,39402600,-0.0014292607707683258,0.9985707392292317
2025-08-20,225.3723907470703,229.81981519856654,225.13307755654054,229.33119207499826,42263900,-0.019734587754066668,0.9802654122459333
2025-08-21,224.26553344726562,225.88097364743615,223.14869792378403,225.6316789169631,30621200,-0.004911237335397001,0.995088762664603
2025-08-22,227.11746215820312,228.44371192910324,224.77410085849388,225.53195134940427,42477800,0.012716749948596506,1.0127167499485965
2025-08-25,226.51914978027344,228.6531118971015,225.59176554347297,225.84106025439092,30983100,-0.0026343741790885167,0.9973656258209115
2025-08-26,228.6630859375,228.84258604761433,224.05612439304167,226.22996704217394,54575100,0.009464701590599311,1.0094647015905993
2025-08-27,229.8397674560547,230.24859923631865,227.6160475796746,227.96506627689797,31259500,0.005145918125483151,1.0051459181254832
2025-08-28,231.9039306640625,232.75153884501827,228.69301327644948,230.16884905542523,38074700,0.008980879291928812,1.0089808792919288
2025-08-29,231.485107421875,232.7216147258446,230.71727541448905,231.85405874294378,39418400,-0.0018060204541949787,0.998193979545805
2025-09-02,229.0719451904297,230.19876225122124,226.32970313085187,228.6032698757151,44075600,-0.01042469754672981,0.9895753024532702
2025-09-03,237.79725646972656,238.17618932549604,233.69885053091846,236.5408165177042,66427800,0.038089829254487784,1.0380898292544878
2025-09-04,239.10354614257812,239.2232027368954,236.0721290991865,237.77729643117493,47549400,0.005493291605817463,1.0054932916058175
2025-09-05,239.0137939453125,240.63920029193574,237.81718240373485,239.32291694518142,54870400,-0.0003753695782166,0.9996246304217834
2025-09-08,237.2089080810547,239.47249309970456,235.67324414176576,238.62490021245955,48999500,-0.0075513878695669945,0.992448612130433
2025-09-09,233.68887329101562,238.1063683630383,232.70166073618753,236.33139119913957,66313900,-0.014839387013392713,0.9851606129866073
2025-09-10,226.1501922607422,231.76431424305812,225.31256565050364,231.53496736029473,83440800,-0.032259477843797124,0.9677405221562029
